Model,Normalized Float,Tone Float,Tech Float,Preference Float
Aroma Twins,4.0,4.0,5.0,
Aroma Witch Girl Pro,3.5,3.5,4.5,
Aroma Witch Girl S,4.5,4.0,5.5,
Aroma Witch Girl W12,4.5,4.0,5.5,
Aroma Yao,4.0,4.0,4.0,
Astell & Kern T9iE,4.0,4.0,5.0,
Astell&Kern ZERO1,5.3,5.0,6.0,5.0
Astrotec Delphinus 5,2.0,1.5,3.5,
Astrotec Volans,0.5,2.0,0.5,
Atomic Floyd SuperDarts,3.5,3.5,3.5,
Audeze Euclid,5.433,4.557,7.377,5.0
Audeze LCD-i3 (No Cipher),3.5,2.0,8.7,
Audeze LCD-i4,4.0,1.5,9.0,4.0
Audeze LCDi4 (No Cipher),3.5,2.0,9.0,
Audeze LCDi4 (w/ Cipher),7.1,7.0,8.67,6.0
Audeze iSine 10,3.5,1.5,5.5,4.0
Audeze iSine 10/20 (No Cipher),3.5,2.0,7.9,
Audeze iSine 20,3.5,1.5,6.0,4.0
Audio Genetic AG2,4.0,4.0,4.5,
Audio Hekili,6.1,6.33,6.0,6.0
Audio Lokahi,4.65,5.918,4.25,5.25
Audio Technica ATH-ANC300TW,3.5,3.5,3.5,
Audio Technica ATH-CK2000Ti,2.5,2.0,3.5,
Audio Technica ATH-CK3TW,2.0,2.0,2.5,
Audio Technica ATH-CKR7TW,1.5,1.5,1.5,
Audio Technica ATH-CKS5TW,1.5,1.5,1.5,
Audio Technica ATH-E70,3.5,3.5,3.5,
Audio Technica ATH-IEX1,2.5,2.0,4.0,
Audio Technica ATH-IM01,3.0,3.0,3.5,
Audio Technica ATH-IM02,4.0,4.0,4.5,
Audio Technica ATH-IM03,3.0,3.0,4.0,
Audio Technica ATH-LS200,4.5,4.5,4.5,
Audio Technica ATH-LS300,3.0,3.0,3.5,
Audio Technica ATH-LS400,3.0,3.0,3.5,
Audio Technica ATH-LS50,1.5,1.5,2.0,
Audio Technica ATH-SPORT7TW,3.5,4.0,3.5,
Audio Technica LS200is,4.0,5.0,4.0,4.5
AudioSense T800,3.2,3.67,3.0,3.0
Audiofly AF1120 MK2,0.1,0.0,0.5,0.5
Audiofly AF160,2.0,2.0,2.5,
Audiosense AQ3,4.5,5.5,4.0,
Audiosense AQ4,4.0,5.0,4.0,
Audiosense AQ7,2.933,2.333,4.223,2.0
Audiosense DT100,4.0,5.0,3.5,
Audiosense DT200,4.533,6.333,3.667,3.0
Audiosense DT600,5.0,5.5,5.0,
Audiosense T800,3.5,3.5,3.5,
Aune Jasper,4.333,4.667,4.333,4.5
Aure Elixir,4.5,4.5,4.5,
Aure Flame,4.5,5.0,4.5,
Aurisonics Kicker,3.0,3.0,3.5,
Aya Audio Siren,5.3,5.33,5.67,5.0
Aya Siren,5.0,6.0,5.0,
Aya Trident,5.0,5.0,5.0,
Azla 01R Mk2,3.5,3.5,3.5,
Azla Horizon,4.0,4.0,4.0,
B&O Beoplay E8,2.5,2.5,2.5,
BGVP Art Magic V12,4.0,4.5,4.5,4.5
BGVP DM6,3.167,3.5,4.0,4.0
BGVP DM7,4.5,4.667,4.333,5.0
BGVP DM8,5.0,5.0,5.0,5.0
BGVP DMG,3.333,3.833,3.333,3.5
BGVP DMS,3.167,3.5,3.167,3.0
BGVP DN3,2.0,2.5,2.0,
BGVP DS1 Pro,3.5,3.5,3.5,
BGVP ES12,3.5,3.5,4.0,
BGVP NS9,2.4,2.33,3.0,2.0
BGVP Q2,3.0,3.5,3.0,
BGVP Zero,2.0,2.0,2.5,
BLON BL-A8 Prometheus,3.5,3.5,3.5,
BLON BL-Max,3.5,3.5,3.5,
BLON BL01,3.5,3.5,3.5,
BLON BL03,4.0,5.0,3.5,
BLON BL05,3.5,3.5,4.0,
BQEYZ Autumn,3.425,3.832,3.582,3.5
BQEYZ Spring 1,3.5,3.5,4.5,
BQEYZ Spring 2,3.0,3.5,3.5,3.5
Beats PowerBeats 3,0.2,0.0,0.5,1.0
Beyerdynamic Xelento,4.5,4.5,5.5,
Blon A8 Prometheus,2.6,3.0,3.0,2.0
Blon BL-03,3.5,4.5,3.0,4.0
Blon BL-05,2.0,2.5,2.5,2.5
Blon BL-A8,2.5,4.0,2.5,3.0
Blon BL03,4.0,4.33,3.67,4.0
Bose QuietComfort Buds,4.4,5.0,4.33,4.0
Bose SoundSport Free,4.5,5.5,4.0,
Brainwavz B400,3.0,3.5,3.0,
CCZ Plume,3.0,3.0,3.0,3.0
